incident_id,url,url_length,path_length,subdomain_count,is_https,domain_length,has_hyphen,digit_count,cluster,cluster_name,pca1,pca2
openphish_967,http://pochtarefund-xeq0vb.aakly.xyz/absabusinesses.htm,55,19,1,0,29,1,1,2,hyphen_based_generic_phishing,-0.28663460143031066,0.5180378206260292
openphish_968,http://pochtarefund-xeq0vb.aakly.xyz/t.1t,41,5,1,0,29,1,2,2,hyphen_based_generic_phishing,-0.5226799594994131,0.5526455970794418
openphish_969,http://pochtarefund-xeq10m.aakmr.xyz/1,38,2,1,0,29,1,3,2,hyphen_based_generic_phishing,-0.5546391908048942,0.5552162481219955
openphish_970,http://pochtarefund-xeq0vb.aakly.xyz/rno.html,45,9,1,0,29,1,1,2,hyphen_based_generic_phishing,-0.47216744394269367,0.5471624800904465
openphish_971,http://pochtarefund-xeq0vb.aakly.xyz/wp-content/uploads/2020/11,63,27,1,0,29,1,7,2,hyphen_based_generic_phishing,0.0039954012689986315,0.4577376122738663
openphish_972,http://pochtarefund-xeq0vb.aakly.xyz/reg,40,4,1,0,29,1,1,2,hyphen_based_generic_phishing,-0.5649338651988852,0.5617248098226552
openphish_973,http://amazing-hoover-3138c3.netlify.app/,41,1,1,0,33,1,5,2,hyphen_based_generic_phishing,-0.462635918946009,0.7414414882178472
openphish_974,https://cocky-kepler-e84e56.netlify.app/,40,1,1,1,31,1,4,2,hyphen_based_generic_phishing,-0.7717533508605035,0.6508781410263396
openphish_975,https://nervous-wescoff-9cef88.netlify.app/,43,1,1,1,34,1,3,2,hyphen_based_generic_phishing,-0.7480874873984955,0.8037795886303258
openphish_976,http://zen-wing-4afaa3.netlify.app/,35,1,1,0,27,1,2,2,hyphen_based_generic_phishing,-0.6284707531111943,0.4664723269937322
openphish_977,https://nervous-haibt-f68273.netlify.app/,41,1,1,1,32,1,5,2,hyphen_based_generic_phishing,-0.7322639011088558,0.6936229611653063
openphish_978,http://sunshinebreakers.com/ice/Exc3l,37,10,0,0,20,0,1,1,plain_short_domain_phishing,-0.9158911094673817,-1.5628081419993107
openphish_979,https://lucid-raman-97ed1d.netlify.app/,39,1,1,1,30,1,3,2,hyphen_based_generic_phishing,-0.8112428006121513,0.6081333208873728
openphish_980,http://pochtarefund-xeq10m.aakmr.xyz/t.1t,41,5,1,0,29,1,3,2,hyphen_based_generic_phishing,-0.4989793380511793,0.5464788502826703
openphish_981,http://pochtarefund-xeq10m.aakmr.xyz/r,38,2,1,0,29,1,2,2,hyphen_based_generic_phishing,-0.578339812253128,0.5613829949187671
openphish_982,http://pochtarefund-xeq10m.aakmr.xyz/account,44,8,1,0,29,1,2,2,hyphen_based_generic_phishing,-0.4670201067456982,0.5439081992401167
openphish_983,http://pochtarefund-xeq0y1.aakmk.xyz/stores.ebay.de,51,15,1,0,29,1,2,2,hyphen_based_generic_phishing,-0.33714711698703,0.5235209376150246
